Discipline,Progression,Perf,Wind,Competitor,DOB,Country,Venue,Date,Age
Pentathlon,,5013,,Nataliya DOBRYNSKA,5/29/1982,UKR,"Ataköy Arena, Istanbul (TUR)",3/9/2012,38
3000 Metres Race Walk,,11:40.3,,Claudia IOVAN,2/25/1978,ROU,Bucure?ti (ROU),1/30/1999,42
4x200 Metres Relay,,01:32.4,,Russia,,RUS,Glasgow (GBR),1/29/2005,120
4x400 Metres Relay,,03:23.4,,Russia,,RUS,Glasgow (GBR),1/28/2006,120
4x800 Metres Relay,,08:05.9,,United States,,USA,"New York, NY (USA)",2/3/2018,120
100 Metres,,10.49,0,Florence GRIFFITH-JOYNER,12/21/1959,USA,"Indianapolis, IN (USA)",7/16/1988,60
200 Metres,,21.34,1.3,Florence GRIFFITH-JOYNER,12/21/1959,USA,"Olympic Stadium, Jamsil, Seoul (KOR)",9/29/1988,60
400 Metres,,47.6,,Marita KOCH,2/18/1957,GDR,"Bruce Stadium, Canberra (AUS)",10/6/1985,63
800 Metres,,01:53.3,,Jarmila KRATOCHVÍLOVÁ,1/26/1951,TCH,München (GER),7/26/1983,69
1000 Metres,,02:29.0,,Svetlana MASTERKOVA,1/17/1968,RUS,Bruxelles (BEL),8/23/1996,52
1500 Metres,,03:50.1,,Genzebe DIBABA,2/8/1991,ETH,"Stade Louis II, Monaco (MON)",7/17/2015,29
One Mile,,04:12.3,,Sifan HASSAN,1/1/1993,NED,"Stade Louis II, Monaco (MON)",7/12/2019,27
2000 Metres,,5:23.75   (i),,Genzebe DIBABA,2/8/1991,ETH,Sabadell (ESP),2/7/2017,29
3000 Metres,,08:06.1,,Junxia WANG,1/9/1973,CHN,Beijing (CHN),9/13/1993,47
5000 Metres,,14:06.6,,Letesenbet GIDEY,3/20/1998,ETH,"Estadio de Atletismo del Turia, Valencia (ESP)",10/7/2020,22
5 Kilometres,,14:48  Mx,,Caroline Chepkoech KIPKIRUI,5/26/1994,KEN,Praha (CZE),9/8/2018,26
5 Kilometres,,14:44 Wo,,Sifan HASSAN,1/1/1993,NED,Monaco (MON),2/17/2019,27
"10,000 Metres",,29:17.4,,Almaz AYANA,11/21/1991,ETH,"Estádio Olímpico, Rio de Janeiro (BRA)",8/12/2016,29
10 Kilometres,,30:29 Wo,,Asmae LEGHZAOUI,8/30/1976,MAR,"New York, NY (USA)",6/8/2002,44
10 Kilometres,,29:43  Mx,,Joyciline JEPKOSGEI,12/8/1993,KEN,Praha (CZE),9/9/2017,27
"20,000 Metres",,1:05:26.6h #,,Tegla LOROUPE,5/9/1973,KEN,Borgholzhausen (GER),9/3/2000,47
One Hour,,18930,,Sifan HASSAN,1/1/1993,NED,"Boudewijnstadion, Bruxelles (BEL)",9/4/2020,27
Half Marathon,,1:05:34 Wo,,Peres JEPCHIRCHIR,9/27/1993,KEN,Praha (CZE),9/5/2020,27
Half Marathon,,1:05:16 Wo  *,,Peres JEPCHIRCHIR,9/27/1993,KEN,Gdynia (POL),10/17/2020,27
Half Marathon,,1:04:31  Mx,,Ababel YESHANEH,7/22/1991,ETH,Ras Al Khaimah (UAE),2/21/2020,29
"25,000 Metres",,1:27:05.9h #,,Tegla LOROUPE,5/9/1973,KEN,Mengerskirchen (GER),9/21/2002,47
"30,000 Metres",,1:45:50.0h #,,Tegla LOROUPE,5/9/1973,KEN,Warstein (GER),6/6/2003,47
Marathon,,2:17:01 Wo,,Mary Jepkosgei KEITANY,1/18/1982,KEN,London (GBR),4/23/2017,38
Marathon,,2:14:04  Mx,,Brigid KOSGEI,2/20/1994,KEN,"Chicago, IL (USA)",10/13/2019,26
100 Kilometres,,6:33:11  Mx,,Tomoe ABE,8/13/1971,JPN,Lake Saroma (JPN),6/25/2000,49
3000 Metres Steeplechase,,08:44.3,,Beatrice CHEPKOECH,7/6/1991,KEN,"Stade Louis II, Monaco (MON)",7/20/2018,29
100 Metres Hurdles,,12.2,0.3,Kendra HARRISON,9/18/1992,USA,"Olympic Stadium, London (GBR)",7/22/2016,28
400 Metres Hurdles,,52.16,,Dalilah MUHAMMAD,2/7/1990,USA,"Khalifa International Stadium, Doha (QAT)",10/4/2019,30
High Jump,,2.09,,Stefka KOSTADINOVA,3/25/1965,BUL,"Stadio Olimpico, Roma (ITA)",8/30/1987,55
Pole Vault,,5.06,,Yelena ISINBAYEVA,6/3/1982,RUS,"Letzigrund, Zürich (SUI)",8/28/2009,38
Long Jump,,7.52,1.4,Galina CHISTYAKOVA,7/26/1962,URS,Leningrad (URS),6/11/1988,58
Triple Jump,,15.5,0.9,Inessa KRAVETS,10/5/1966,UKR,"Ullevi Stadium, Göteborg (SWE)",8/10/1995,54
Shot Put,,22.63,,Natalia LISOVSKAYA,7/16/1962,URS,Moskva (URS),6/7/1987,58
Discus Throw,,76.8,,Gabriele REINSCH,9/23/1963,GDR,Neubrandenburg (GDR),7/9/1988,57
Hammer Throw,,82.98,,Anita W?ODARCZYK,8/8/1985,POL,"Stadion PGE Narodowy, Warszawa (POL)",8/28/2016,35
Javelin Throw,,72.28,,Barbora ŠPOTÁKOVÁ,6/30/1981,CZE,"Gottlieb-Daimler Stadion, Stuttgart (GER)",9/13/2008,39
Heptathlon,,7291,,Jackie JOYNER-KERSEE,3/3/1962,USA,"Olympic Stadium, Jamsil, Seoul (KOR)",9/24/1988,58
Decathlon,,8358,,Austra SKUJYTÉ,8/12/1979,LTU,"Columbia, MO (USA)",4/15/2005,41
"10,000 Metres Race Walk",,41:56.2,,Nadezhda RYASHKINA,1/22/1967,URS,"Seattle, WA (USA)",7/24/1990,53
"20,000 Metres Race Walk",,1:26:52.3h,,Olimpiada IVANOVA,8/29/1970,RUS,Brisbane (AUS),9/6/2001,50
20 Kilometres Race Walk,,01:24:38,,Hong LIU,5/12/1987,CHN,La Coruña (ESP),6/6/2015,33
50 Kilometres Race Walk,,03:59:15,,Hong LIU,5/12/1987,CHN,Huangshan (CHN),3/9/2019,33
4x100 Metres Relay,,40.82,,United States,,USA,"Olympic Stadium, London (GBR)",8/10/2012,120
4x200 Metres Relay,,01:27.5,,United States Blue,,USA,"Philadelphia, PA (USA)",4/29/2000,120
4x400 Metres Relay,,03:15.2,,Soviet Union,,URS,"Olympic Stadium, Jamsil, Seoul (KOR)",10/1/1988,120
4x800 Metres Relay,,07:50.2,,Soviet Union,,URS,Moskva (URS),8/5/1984,120
4x1500 Metres Relay,,16:27.0,,Nike/Bowerman Track Club,,USA,"Jesuit High School Track, Portland, OR (USA)",7/31/2020,120
Road Relay,,02:11:41,,PR of China,,CHN,Beijing (CHN),2/28/1998,120
Distance Medley Relay,,10:36.5,,United States,,USA,"T. Robinson Stadium, Nassau (BAH)",5/2/2015,120
